SMILES,C,H,O
[CH]1[CH][O][O]1,2,2,2
[CH]1[C]2=[CH][CH]12,4,3,0
[CH]1[C]2=[C]1[CH2]2,4,3,0
[CH]1[C]2=[C]1[CH]2,4,2,0
[CH]1[C]2=[C]1[O]2,3,1,1
[CH]1[C]2[CH2][CH]12,4,4,0
[CH]1[C]2[CH2][C]12,4,3,0
[CH]1[C]2[CH]=[C]12,4,2,0
[CH]1[C]2[CH][CH]12,4,3,0
[CH]1[C]2[CH][C]12,4,2,0
[CH]1[C]2[O][CH]12,3,2,1
[CH]1[C]2[O][C]12,3,1,1
[CH]1[O][CH2][O]1,2,3,2
[CH]1[O][CH][O]1,2,2,2
[CH]1[O][O][O]1,1,1,3
[CH]=[CH][CH2][CH2],4,6,0
[CH]=[CH][CH2][CH3],4,7,0
[CH]=[CH][CH2][OH],3,5,1
[CH]=[CH][CH2][O],3,4,1
[CH]=[CH][CH]=[CH2],4,5,0
[CH]=[CH][CH]=[CH],4,4,0
[CH]=[CH][CH]=[O],3,3,1
[CH]=[CH][CH][CH2],4,5,0
[CH]=[CH][CH][CH3],4,6,0
[CH]=[CH][CH][OH],3,4,1
[CH]=[CH][CH][O],3,3,1
[CH]=[CH][C]#[CH],4,3,0
[CH]=[CH][C]=[CH2],4,4,0
[CH]=[CH][C]=[O],3,2,1
[CH]=[CH][C][CH2],4,4,0
[CH]=[CH][C][CH3],4,5,0
[CH]=[CH][C][OH],3,3,1
[CH]=[CH][C][O],3,2,1
[CH]=[CH][O][CH2],3,4,1
[CH]=[CH][O][CH3],3,5,1
[CH]=[CH][O][OH],2,3,2
[CH]=[CH][O][O],2,2,2
[CH]=[C]([CH2])[CH2],4,5,0
[CH]=[C]([CH2])[CH3],4,6,0
[CH]=[C]([CH2])[OH],3,4,1
[CH]=[C]([CH2])[O],3,3,1
[CH]=[C]([CH3])[CH3],4,7,0
[CH]=[C]([CH3])[OH],3,5,1
[CH]=[C]([CH3])[O],3,4,1
[CH]=[C]([OH])[OH],2,3,2
[CH]=[C]([O])[OH],2,2,2
[CH]=[C]([O])[O],2,1,2
[CH]=[C]1[CH2][CH2]1,4,5,0
[CH]=[C]1[CH2][O]1,3,3,1
[CH]=[C]1[CH]=[CH]1,4,3,0
[CH]=[C]1[CH][CH2]1,4,4,0
[CH]=[C]1[CH][CH]1,4,3,0
[CH]=[C]1[CH][O]1,3,2,1
[CH]=[C]1[C]#[C]1,4,1,0
[CH]=[C]1[C]=[CH]1,4,2,0
[CH]=[C]1[C]=[C]1,4,1,0
[CH]=[C]1[C][CH2]1,4,3,0
[CH]=[C]1[C][CH]1,4,2,0
[CH]=[C]1[C][C]1,4,1,0
